Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
930	-1.1e-002	-2.5e-002	0.	0.
931	-9.e-003	-2.5e-002	0.	0.
932	-7.e-003	-2.5e-002	0.	0.
933	-5.e-003	-2.5e-002	0.	0.
934	-3.e-003	-2.5e-002	0.	0.
935	-1.e-003	-2.5e-002	0.	0.
936	1.e-003	-2.5e-002	0.	0.
937	3.e-003	-2.5e-002	0.	0.
938	5.e-003	-2.5e-002	0.	0.
939	7.e-003	-2.5e-002	0.	0.
940	9.e-003	-2.5e-002	0.	0.
941	1.1e-002	-2.5e-002	0.	0.
942	1.3e-002	-2.5e-002	0.	0.
943	1.5e-002	-2.5e-002	0.	0.
944	1.7e-002	-2.5e-002	0.	0.
945	1.9e-002	-2.5e-002	0.	0.
946	2.1e-002	-2.5e-002	0.	0.
947	2.3e-002	-2.5e-002	0.	0.
948	2.5e-002	-2.5e-002	0.	0.
949	2.7e-002	-2.5e-002	0.	0.
950	2.9e-002	-2.5e-002	0.	0.
951	3.1e-002	-2.5e-002	0.	0.
952	3.3e-002	-2.5e-002	0.	0.
953	3.5e-002	-2.5e-002	0.	0.
954	3.7e-002	-2.5e-002	0.	0.
955	3.9e-002	-2.5e-002	0.	0.
956	4.1e-002	-2.5e-002	0.	0.
957	4.3e-002	-2.5e-002	0.	0.
958	4.5e-002	-2.5e-002	0.	0.
959	4.7e-002	-2.5e-002	0.	0.
960	4.9e-002	-2.5e-002	0.	0.
961	5.1e-002	-2.5e-002	0.	0.
962	5.3e-002	-2.5e-002	0.	0.
963	5.5e-002	-2.5e-002	0.	0.
964	5.7e-002	-2.5e-002	0.	0.
965	5.9e-002	-2.5e-002	0.	0.
966	6.1e-002	-2.5e-002	0.	0.
967	6.3e-002	-2.5e-002	0.	0.
968	6.5e-002	-2.5e-002	0.	0.
969	6.7e-002	-2.5e-002	0.	0.
970	6.9e-002	-2.5e-002	0.	0.
971	7.1e-002	-2.5e-002	0.	0.
972	7.3e-002	-2.5e-002	0.	0.
973	7.5e-002	-2.5e-002	0.	0.
974	7.7e-002	-2.5e-002	0.	0.
975	7.9e-002	-2.5e-002	0.	0.
976	8.1e-002	-2.5e-002	0.	0.
977	8.3e-002	-2.5e-002	0.	0.
978	8.5e-002	-2.5e-002	0.	0.
979	8.7e-002	-2.5e-002	0.	0.
980	8.9e-002	-2.5e-002	0.	0.
981	9.1e-002	-2.5e-002	0.	0.
982	9.3e-002	-2.5e-002	0.	0.
