Node Number	X Location (m)	Y Location (m)	Z Location (m)	Directional Deformation (m)
621	0.261	-6.e-003	0.	2.4558e-010
622	0.26	-6.e-003	0.	2.4707e-010
623	0.259	-6.e-003	0.	2.4857e-010
624	0.258	-6.e-003	0.	2.5006e-010
625	0.257	-6.e-003	0.	2.5156e-010
626	0.256	-6.e-003	0.	2.5306e-010
627	0.255	-6.e-003	0.	2.5455e-010
628	0.254	-6.e-003	0.	2.5605e-010
629	0.253	-6.e-003	0.	2.5754e-010
630	0.252	-6.e-003	0.	2.5904e-010
631	0.251	-6.e-003	0.	2.6053e-010
632	0.25	-6.e-003	0.	2.6203e-010
633	0.249	-6.e-003	0.	2.6353e-010
634	0.248	-6.e-003	0.	2.6502e-010
635	0.247	-6.e-003	0.	2.6652e-010
636	0.246	-6.e-003	0.	2.6801e-010
637	0.245	-6.e-003	0.	2.6951e-010
638	0.244	-6.e-003	0.	2.71e-010
639	0.243	-6.e-003	0.	2.725e-010
640	0.242	-6.e-003	0.	2.74e-010
641	0.241	-6.e-003	0.	2.7549e-010
642	0.24	-6.e-003	0.	2.7699e-010
643	0.239	-6.e-003	0.	2.7848e-010
644	0.238	-6.e-003	0.	2.7998e-010
645	0.237	-6.e-003	0.	2.8147e-010
646	0.236	-6.e-003	0.	2.8297e-010
647	0.235	-6.e-003	0.	2.8446e-010
648	0.234	-6.e-003	0.	2.8596e-010
649	0.233	-6.e-003	0.	2.8746e-010
650	0.232	-6.e-003	0.	2.8895e-010
651	0.231	-6.e-003	0.	2.9045e-010
652	0.23	-6.e-003	0.	2.9194e-010
653	0.229	-6.e-003	0.	2.9344e-010
654	0.228	-6.e-003	0.	2.9493e-010
655	0.227	-6.e-003	0.	2.9643e-010
656	0.226	-6.e-003	0.	2.9793e-010
657	0.225	-6.e-003	0.	2.9942e-010
658	0.224	-6.e-003	0.	3.0092e-010
659	0.223	-6.e-003	0.	3.0241e-010
660	0.222	-6.e-003	0.	3.0391e-010
661	0.221	-6.e-003	0.	3.054e-010
662	0.22	-6.e-003	0.	3.069e-010
663	0.219	-6.e-003	0.	3.084e-010
664	0.218	-6.e-003	0.	3.0989e-010
665	0.217	-6.e-003	0.	3.1139e-010
666	0.216	-6.e-003	0.	3.1288e-010
667	0.215	-6.e-003	0.	3.1438e-010
668	0.214	-6.e-003	0.	3.1587e-010
669	0.213	-6.e-003	0.	3.1737e-010
670	0.212	-6.e-003	0.	3.1887e-010
671	0.211	-6.e-003	0.	3.2036e-010
672	0.21	-6.e-003	0.	3.2186e-010
673	0.209	-6.e-003	0.	3.2335e-010
674	0.208	-6.e-003	0.	3.2485e-010
675	0.207	-6.e-003	0.	3.2634e-010
676	0.206	-6.e-003	0.	3.2784e-010
677	0.205	-6.e-003	0.	3.2934e-010
678	0.204	-6.e-003	0.	3.3083e-010
679	0.203	-6.e-003	0.	3.3233e-010
680	0.202	-6.e-003	0.	3.3382e-010
681	0.201	-6.e-003	0.	3.3532e-010
682	0.2	-6.e-003	0.	3.3681e-010
683	0.199	-6.e-003	0.	3.3831e-010
684	0.198	-6.e-003	0.	3.3981e-010
685	0.197	-6.e-003	0.	3.413e-010
686	0.196	-6.e-003	0.	3.428e-010
687	0.195	-6.e-003	0.	3.4429e-010
688	0.194	-6.e-003	0.	3.4579e-010
689	0.193	-6.e-003	0.	3.4728e-010
690	0.192	-6.e-003	0.	3.4878e-010
691	0.191	-6.e-003	0.	3.5027e-010
692	0.19	-6.e-003	0.	3.5177e-010
693	0.189	-6.e-003	0.	3.5327e-010
694	0.188	-6.e-003	0.	3.5476e-010
695	0.187	-6.e-003	0.	3.5626e-010
696	0.186	-6.e-003	0.	3.5775e-010
697	0.185	-6.e-003	0.	3.5925e-010
698	0.184	-6.e-003	0.	3.6074e-010
699	0.183	-6.e-003	0.	3.6224e-010
700	0.182	-6.e-003	0.	3.6373e-010
701	0.181	-6.e-003	0.	3.6523e-010
702	0.18	-6.e-003	0.	3.6672e-010
703	0.179	-6.e-003	0.	3.6822e-010
704	0.178	-6.e-003	0.	3.6972e-010
705	0.177	-6.e-003	0.	3.7121e-010
706	0.176	-6.e-003	0.	3.7271e-010
707	0.175	-6.e-003	0.	3.742e-010
708	0.174	-6.e-003	0.	3.757e-010
709	0.173	-6.e-003	0.	3.7719e-010
710	0.172	-6.e-003	0.	3.7869e-010
711	0.171	-6.e-003	0.	3.8018e-010
712	0.17	-6.e-003	0.	3.8168e-010
713	0.169	-6.e-003	0.	3.8317e-010
714	0.168	-6.e-003	0.	3.8467e-010
715	0.167	-6.e-003	0.	3.8616e-010
716	0.166	-6.e-003	0.	3.8766e-010
717	0.165	-6.e-003	0.	3.8915e-010
718	0.164	-6.e-003	0.	3.9065e-010
719	0.163	-6.e-003	0.	3.9214e-010
720	0.162	-6.e-003	0.	3.9364e-010
721	0.161	-6.e-003	0.	3.9513e-010
722	0.16	-6.e-003	0.	3.9662e-010
723	0.159	-6.e-003	0.	3.9812e-010
724	0.158	-6.e-003	0.	3.9961e-010
725	0.157	-6.e-003	0.	4.0111e-010
726	0.156	-6.e-003	0.	4.026e-010
727	0.155	-6.e-003	0.	4.0409e-010
728	0.154	-6.e-003	0.	4.0559e-010
729	0.153	-6.e-003	0.	4.0708e-010
730	0.152	-6.e-003	0.	4.0858e-010
731	0.151	-6.e-003	0.	4.1007e-010
732	0.15	-6.e-003	0.	4.1156e-010
733	0.149	-6.e-003	0.	4.1306e-010
734	0.148	-6.e-003	0.	4.1455e-010
735	0.147	-6.e-003	0.	4.1604e-010
736	0.146	-6.e-003	0.	4.1753e-010
737	0.145	-6.e-003	0.	4.1903e-010
738	0.144	-6.e-003	0.	4.2052e-010
739	0.143	-6.e-003	0.	4.2201e-010
740	0.142	-6.e-003	0.	4.235e-010
741	0.141	-6.e-003	0.	4.2499e-010
742	0.14	-6.e-003	0.	4.2648e-010
743	0.139	-6.e-003	0.	4.2798e-010
744	0.138	-6.e-003	0.	4.2947e-010
745	0.137	-6.e-003	0.	4.3096e-010
746	0.136	-6.e-003	0.	4.3245e-010
747	0.135	-6.e-003	0.	4.3394e-010
748	0.134	-6.e-003	0.	4.3543e-010
749	0.133	-6.e-003	0.	4.3691e-010
750	0.132	-6.e-003	0.	4.384e-010
751	0.131	-6.e-003	0.	4.3989e-010
752	0.13	-6.e-003	0.	4.4138e-010
753	0.129	-6.e-003	0.	4.4287e-010
754	0.128	-6.e-003	0.	4.4435e-010
755	0.127	-6.e-003	0.	4.4584e-010
756	0.126	-6.e-003	0.	4.4733e-010
757	0.125	-6.e-003	0.	4.4881e-010
758	0.124	-6.e-003	0.	4.503e-010
759	0.123	-6.e-003	0.	4.5178e-010
760	0.122	-6.e-003	0.	4.5326e-010
761	0.121	-6.e-003	0.	4.5475e-010
762	0.12	-6.e-003	0.	4.5623e-010
763	0.119	-6.e-003	0.	4.5771e-010
764	0.118	-6.e-003	0.	4.5919e-010
765	0.117	-6.e-003	0.	4.6067e-010
766	0.116	-6.e-003	0.	4.6215e-010
767	0.115	-6.e-003	0.	4.6363e-010
768	0.114	-6.e-003	0.	4.6511e-010
769	0.113	-6.e-003	0.	4.6658e-010
770	0.112	-6.e-003	0.	4.6806e-010
771	0.111	-6.e-003	0.	4.6953e-010
772	0.11	-6.e-003	0.	4.71e-010
773	0.109	-6.e-003	0.	4.7248e-010
774	0.108	-6.e-003	0.	4.7395e-010
775	0.107	-6.e-003	0.	4.7542e-010
776	0.106	-6.e-003	0.	4.7689e-010
777	0.105	-6.e-003	0.	4.7835e-010
778	0.104	-6.e-003	0.	4.7982e-010
779	0.103	-6.e-003	0.	4.8128e-010
780	0.102	-6.e-003	0.	4.8275e-010
781	0.101	-6.e-003	0.	4.8421e-010
782	0.1	-6.e-003	0.	4.8567e-010
783	9.9e-002	-6.e-003	0.	4.8713e-010
784	9.8e-002	-6.e-003	0.	4.8858e-010
785	9.7e-002	-6.e-003	0.	4.9004e-010
786	9.6e-002	-6.e-003	0.	4.9149e-010
787	9.5e-002	-6.e-003	0.	4.9294e-010
788	9.4e-002	-6.e-003	0.	4.9439e-010
789	9.3e-002	-6.e-003	0.	4.9584e-010
790	9.2e-002	-6.e-003	0.	4.9729e-010
791	9.1e-002	-6.e-003	0.	4.9873e-010
792	9.e-002	-6.e-003	0.	5.0018e-010
793	8.9e-002	-6.e-003	0.	5.0162e-010
794	8.8e-002	-6.e-003	0.	5.0306e-010
795	8.7e-002	-6.e-003	0.	5.045e-010
796	8.6e-002	-6.e-003	0.	5.0594e-010
797	8.5e-002	-6.e-003	0.	5.0738e-010
798	8.4e-002	-6.e-003	0.	5.0882e-010
799	8.3e-002	-6.e-003	0.	5.1027e-010
